,Province/State,Country/Region,Lat,Long,Date,Min Temp (F),Max Temp (F),Wind Speed (Miles),Humidity,Pressure,Precip (Inches),Weather Code
85,,Togo,8.62,0.82,2020-03-23,75.0,94.0,6.0,44.0,1010.0,0.0,116.0
86,,Malta,35.94,14.38,2020-03-23,55.0,60.0,3.0,72.0,1015.0,0.0,116.0
87,,Martinique,14.64,-61.02,2020-03-23,75.0,81.0,14.0,66.0,1019.0,0.0,116.0
88,,Bulgaria,42.73,25.49,2020-03-23,33.0,37.0,4.0,97.0,1020.0,0.1,320.0
89,,Maldives,3.2,73.22,2020-03-23,82.0,85.0,8.0,67.0,1011.0,0.0,116.0
90,,Bangladesh,23.69,90.36,2020-03-23,69.0,89.0,3.0,37.0,1011.0,0.1,176.0
91,,Paraguay,-23.44,-58.44,2020-03-23,69.0,101.0,8.0,30.0,1013.0,0.0,116.0
92,Ontario,Canada,51.25,-85.32,2020-03-23,27.0,33.0,9.0,95.0,1016.0,0.0,338.0
93,Alberta,Canada,53.93,-116.58,2020-03-23,22.0,29.0,6.0,89.0,1006.0,0.0,332.0
94,Quebec,Canada,52.94,-73.55,2020-03-23,8.0,23.0,21.0,86.0,1020.0,0.0,122.0
95,,Albania,41.15,20.17,2020-03-23,33.0,43.0,5.0,91.0,1016.0,0.1,296.0
96,,Cyprus,35.13,33.43,2020-03-23,44.0,63.0,7.0,49.0,1014.0,0.0,116.0
97,,Brunei,4.54,114.73,2020-03-23,74.0,92.0,3.0,64.0,1010.0,0.1,356.0
98,Washington,US,47.4,-121.49,2020-03-23,28.0,37.0,7.0,83.0,1008.0,0.1,335.0
99,New York,US,42.17,-74.95,2020-03-23,26.0,39.0,18.0,74.0,1029.0,0.0,122.0
100,California,US,36.12,-119.68,2020-03-23,51.0,67.0,2.0,61.0,1019.0,0.0,116.0
101,Massachusetts,US,42.23,-71.53,2020-03-23,29.0,42.0,9.0,47.0,1035.0,0.0,119.0
102,Diamond Princess,US,35.44,139.64,2020-03-23,37.0,53.0,12.0,59.0,1010.0,0.0,266.0
103,Grand Princess,US,37.65,-122.67,2020-03-23,37.0,52.0,11.0,81.0,1020.0,0.0,119.0
104,Georgia,US,33.04,-83.64,2020-03-23,55.0,68.0,5.0,92.0,1023.0,0.0,266.0
105,Colorado,US,39.06,-105.31,2020-03-23,26.0,42.0,8.0,48.0,1012.0,0.0,116.0
106,Florida,US,27.77,-81.69,2020-03-23,67.0,84.0,8.0,55.0,1023.0,0.0,122.0
107,New Jersey,US,40.3,-74.52,2020-03-23,30.0,43.0,13.0,92.0,1028.0,0.1,302.0
108,Oregon,US,44.57,-122.07,2020-03-23,31.0,37.0,5.0,98.0,1012.0,0.1,320.0
109,Texas,US,31.05,-97.56,2020-03-23,61.0,74.0,9.0,86.0,1018.0,0.0,119.0
110,Illinois,US,40.35,-88.99,2020-03-23,33.0,41.0,4.0,94.0,1024.0,0.0,248.0
111,Pennsylvania,US,40.59,-77.21,2020-03-23,32.0,42.0,12.0,95.0,1025.0,0.1,302.0
112,Iowa,US,42.01,-93.21,2020-03-23,34.0,46.0,6.0,86.0,1023.0,0.0,122.0
113,Maryland,US,39.06,-76.8,2020-03-23,41.0,47.0,11.0,96.0,1024.0,0.3,308.0
114,North Carolina,US,35.63,-79.81,2020-03-23,44.0,52.0,4.0,97.0,1024.0,0.2,308.0
115,South Carolina,US,33.86,-80.95,2020-03-23,51.0,67.0,4.0,87.0,1024.0,0.0,122.0
116,Tennessee,US,35.75,-86.69,2020-03-23,49.0,60.0,6.0,89.0,1021.0,0.0,176.0
117,Virginia,US,37.77,-78.17,2020-03-23,40.0,53.0,3.0,96.0,1023.0,0.0,296.0
118,Arizona,US,33.73,-111.43,2020-03-23,59.0,71.0,9.0,36.0,1017.0,0.0,116.0
119,Indiana,US,39.85,-86.26,2020-03-23,37.0,47.0,6.0,76.0,1023.0,0.0,119.0
120,Kentucky,US,37.67,-84.67,2020-03-23,46.0,55.0,7.0,89.0,1020.0,0.0,266.0
